k1 b k3 score
0.39 0.30 500 0.3909
0.39 0.40 500 0.3938
0.39 0.50 500 0.3943
0.39 0.60 500 0.3949
0.39 0.70 500 0.3921
0.39 0.80 500 0.3899
0.39 0.90 500 0.3812
0.49 0.30 500 0.3914
0.49 0.40 500 0.3961
0.49 0.50 500 0.3956
0.49 0.60 500 0.397
0.49 0.70 500 0.3938
0.49 0.80 500 0.3917
0.49 0.90 500 0.3841
0.59 0.30 500 0.3927
0.59 0.40 500 0.3989
0.59 0.50 500 0.3981
0.59 0.60 500 0.3992
0.59 0.70 500 0.3949
0.59 0.80 500 0.393
0.59 0.90 500 0.3868
0.69 0.30 500 0.3941
0.69 0.40 500 0.3986
0.69 0.50 500 0.3988
0.69 0.60 500 0.4008
0.69 0.70 500 0.3965
0.69 0.80 500 0.3922
0.69 0.90 500 0.3862
0.79 0.30 500 0.3936
0.79 0.40 500 0.3983
0.79 0.50 500 0.4016
0.79 0.60 500 0.4007
0.79 0.70 500 0.3967
0.79 0.80 500 0.3908
0.79 0.90 500 0.3847
0.89 0.30 500 0.3945
0.89 0.40 500 0.3988
0.89 0.50 500 0.4008
0.89 0.60 500 0.4
0.89 0.70 500 0.3961
0.89 0.80 500 0.3919
0.89 0.90 500 0.3844
0.99 0.30 500 0.3937
0.99 0.40 500 0.3979
0.99 0.50 500 0.4007
0.99 0.60 500 0.3995
0.99 0.70 500 0.3939
0.99 0.80 500 0.3919
0.99 0.90 500 0.3843
1.09 0.30 500 0.3951
1.09 0.40 500 0.3974
1.09 0.50 500 0.401
1.09 0.60 500 0.399
1.09 0.70 500 0.3932
1.09 0.80 500 0.3931
1.09 0.90 500 0.3848
1.19 0.30 500 0.3953
1.19 0.40 500 0.3976
1.19 0.50 500 0.4008
1.19 0.60 500 0.3985
1.19 0.70 500 0.3939
1.19 0.80 500 0.3924
1.19 0.90 500 0.3841
1.29 0.30 500 0.3958
1.29 0.40 500 0.397
1.29 0.50 500 0.4004
1.29 0.60 500 0
1.29 0.70 500 0.3948
1.29 0.80 500 0.3919
1.29 0.90 500 0.3839
1.39 0.30 500 0.3946
1.39 0.40 500 0.3991
1.39 0.50 500 0.3969
1.39 0.60 500 0.4002
1.39 0.70 500 0.399
1.39 0.80 500 0.3951
1.39 0.90 500 0.3923
1.49 0.30 500 0.3839
1.49 0.40 500 0.394
1.49 0.50 500 0.398
1.49 0.60 500 0.399
1.49 0.70 500 0.398
1.49 0.80 500 0.3956
1.49 0.90 500 0.3921
1.59 0.30 500 0.3848
1.59 0.40 500 0.3933
1.59 0.50 500 0.3986
1.59 0.60 500 0.3978
1.59 0.70 500 0.396
1.59 0.80 500 0.3926
1.59 0.90 500 0.3853
1.69 0.30 500 0.3944
1.69 0.40 500 0.3973
1.69 0.50 500 0.3971
1.69 0.60 500 0.3973
1.69 0.70 500 0.3981
1.69 0.80 500 0.3968
1.69 0.90 500 0.3935
1.79 0.30 500 0.3855
1.79 0.40 500 0.3949
1.79 0.50 500 0.3968
1.79 0.60 500 0.3985
1.79 0.70 500 0.3991
1.79 0.80 500 0.3963
1.79 0.90 500 0.3933
1.89 0.30 500 0.3855
1.89 0.40 500 0.3938
1.89 0.50 500 0.3952
1.89 0.60 500 0.3993
1.89 0.70 500 0.3982
1.89 0.80 500 0.3968
1.89 0.90 500 0.3928
1.99 0.30 500 0.3852
1.99 0.40 500 0.3938
1.99 0.50 500 0.3941
1.99 0.60 500 0.3981
1.99 0.70 500 0.3964
1.99 0.80 500 0.3932
1.99 0.90 500 0.3836
